idx,x,y,z
0,0.30666625,-0.6818087,2.2099419
1,0.30905172,-0.67658854,2.2135415
2,-0.051334575,-0.71979046,2.3127768
3,0.33177528,-0.6929957,2.283165
4,-0.051129267,-0.72133976,2.3123076
5,0.32913437,-0.6897143,2.2799907
6,-0.05015584,-0.7181224,2.3126216
7,0.32689494,-0.6906849,2.281507
8,-0.048691913,-0.72060215,2.3158243
9,0.32721242,-0.6928692,2.2822886
10,-0.0486487,-0.7216741,2.3150702
11,0.32783267,-0.69190943,2.2823374
12,-0.048569947,-0.720364,2.3137844
13,0.32760102,-0.68908125,2.283724
14,-0.047955137,-0.72242737,2.3154051
15,0.32830596,-0.6922436,2.2847786
16,-0.047683384,-0.71730226,2.3142085
17,0.32876122,-0.69103295,2.2841666
18,-0.047754314,-0.718874,2.314941
19,0.32947773,-0.69028676,2.2836215
20,-0.048113126,-0.72467196,2.3161874
21,0.3311528,-0.6940979,2.281912
22,-0.049418777,-0.72710305,2.3147922
23,0.33245844,-0.6984221,2.2779493
24,0.33363765,-0.6979291,2.2758303
25,0.33586603,-0.700718,2.2752755
26,0.33677238,-0.7067517,2.273931
27,0.33424348,-0.70465636,2.2711647
28,-0.047833048,-0.77700347,1.7138925
29,-0.048905768,-0.77558964,1.7128404
30,-0.02455308,-0.7725259,1.6579938
31,-0.02016918,-0.77350736,1.6530377
32,-0.018988125,-0.77451414,1.651363
33,-0.018916221,-0.772781,1.6530007
34,-0.019507462,-0.773574,1.6502686
35,0.34037876,-0.6104554,3.0410032
36,-0.004444819,-0.6589484,3.2477665
37,0.004316851,-0.6511229,3.2621355
38,0.005461073,-0.6481274,3.2612207
39,0.009394888,-0.6468477,3.266037
40,0.011134836,-0.643632,3.265623
41,0.3409248,-0.633165,3.3072867
42,0.011789586,-0.6430825,3.2701182
43,0.33935368,-0.62866586,3.3111477
44,0.33910608,-0.6278057,3.3122566
45,0.33878437,-0.62058246,3.3112743
46,0.3393284,-0.6262866,3.3132963
47,0.3382086,-0.6297627,3.3086472
48,0.33726212,-0.6314037,3.3044922
49,-0.015743393,-0.65894103,3.3441684
50,0.33933252,-0.63886356,3.3039908
51,-0.01578702,-0.6571601,3.3436263
52,0.33962184,-0.6338928,3.301054
53,-0.016725598,-0.65371823,3.3447034
54,0.34126562,-0.6386305,3.3002949
55,-0.01632196,-0.6517111,3.3460834
