idx,x,y,z
0,0.07543974,-0.80487007,1.7250624
1,0.07830241,-0.8094792,1.7259116
2,0.07695182,-0.81112534,1.727146
3,0.07580056,-0.8076672,1.7269037
4,-0.21189806,-0.7998187,1.737368
5,0.07520199,-0.80545676,1.726522
6,-0.21058692,-0.7962054,1.7357876
7,0.07471857,-0.8047537,1.7273128
8,-0.21124604,-0.80027354,1.73468
9,0.07529183,-0.8075554,1.7313433
10,-0.21122809,-0.78926826,1.731054
11,0.075749636,-0.8090972,1.7306504
12,0.07681982,-0.808193,1.7252967
13,-0.21379171,-0.7989336,1.7345403
14,0.079057075,-0.8084847,1.7191398
15,-0.21547535,-0.801183,1.7352725
16,0.07947664,-0.8075728,1.7166921
17,0.07589917,-0.8060335,1.7194774
18,-0.21467178,-0.79344875,1.7353776
19,0.06630162,-0.80996925,1.7297108
20,-0.21197104,-0.80485773,1.7425321
21,0.067383416,-0.8133787,1.7274921
22,-0.21111862,-0.80252385,1.742174
23,0.06734044,-0.81138456,1.7272859
24,-0.21070537,-0.7977955,1.742233
25,0.06662484,-0.8127415,1.7261128
26,-0.21058016,-0.79788333,1.7375516
27,0.06538611,-0.80956453,1.7279932
28,0.06472973,-0.80799395,1.728569
29,0.06383543,-0.8119117,1.7253227
30,0.06431955,-0.8105334,1.7197798
31,0.06681214,-0.81038076,1.7119458
32,-0.15515472,-0.6056688,1.2454282
33,-0.16863063,-0.8380266,2.0863554
34,-0.16429079,-0.82182586,2.079772
35,-0.16690496,-0.79880714,2.0999877
36,0.01707019,-0.81543815,2.4146447
37,0.012315602,-0.83651215,2.4265404
38,0.011087448,-0.8313657,2.4269056
39,0.011922315,-0.8304836,2.4290032
40,0.011782671,-0.83254254,2.4329593
41,-0.21136072,-0.8265079,2.5052824
42,0.011172737,-0.8306514,2.434694
43,-0.21049494,-0.83127034,2.5043483
44,0.010782713,-0.83187467,2.4343114
45,-0.20986217,-0.83756894,2.504237
46,0.010559377,-0.83173525,2.434829
47,-0.20829996,-0.836395,2.5090368
48,-0.20396098,-0.8364475,2.5259771
49,-0.20249061,-0.84003234,2.5300646
50,-0.01923753,-0.84333074,2.5307822
51,-0.20210612,-0.84386104,2.5286422
52,-0.018263718,-0.8454866,2.5310674
53,-0.20282057,-0.8418284,2.5225272
54,-0.019104756,-0.8483254,2.531233
55,-0.20287085,-0.8403706,2.5196562
56,-0.019784562,-0.85015464,2.531466
57,-0.20209682,-0.8382301,2.520703
58,-0.019588942,-0.84948,2.533564
59,-0.20204332,-0.84009564,2.5199497
60,-0.01993085,-0.85163766,2.534183
61,-0.20211145,-0.8401558,2.5191875
62,-0.019426452,-0.8520211,2.5333652
63,-0.20238853,-0.8401226,2.5189903
64,-0.018542543,-0.8512934,2.5323608
65,-0.20258519,-0.83870953,2.5183814
66,-0.018170618,-0.8498651,2.527297
67,-0.20285067,-0.8387041,2.517013
68,-0.0186449,-0.84871346,2.5255969
69,-0.20429265,-0.8411278,2.5120888
70,-0.017950002,-0.85048985,2.5295525
71,-0.015509614,-0.8486306,2.5313032
72,-0.012914734,-0.8455606,2.523887
73,-0.014159212,-0.8446236,2.5227604
74,-0.014203367,-0.8449445,2.5174174
75,-0.6173081,-0.84363663,2.0337749
76,-0.63982666,-0.77343273,1.4906797
77,-0.6389128,-0.7801619,1.4919838
78,-0.7732501,-0.8367468,1.59042
79,-0.64019203,-0.7833555,1.4939673
80,-0.7735226,-0.8371283,1.5872712
81,-0.63932854,-0.785023,1.4954304
82,-0.77443296,-0.8395504,1.584688
83,-0.6368205,-0.7832279,1.4952697
84,-0.77555436,-0.8359045,1.5917349
85,-0.63532203,-0.782526,1.4948381
86,-0.77274984,-0.83699226,1.5909772
87,-0.63471156,-0.7825744,1.4942945
88,-0.7708776,-0.83484447,1.5894294
89,-0.63529724,-0.78345364,1.4940681
90,-0.7730614,-0.83624727,1.5904516
91,-0.7873194,-0.8324533,1.5992275
92,0.053417765,-0.8159336,1.6281238
93,0.13083537,-0.8350556,1.9501877
94,0.5844323,-0.76634836,1.7216282
95,0.57091695,-0.8040039,1.7824587
96,0.5683544,-0.802096,1.7824512
97,0.4341911,-0.8056849,1.7522755
98,0.5640328,-0.79974544,1.7846078
99,0.43326247,-0.8080807,1.7533153
100,0.5650753,-0.7981362,1.7865248
101,0.43090212,-0.8047713,1.7525511
102,0.5643986,-0.7956748,1.7867913
103,0.42993125,-0.8005957,1.7507969
104,0.5634112,-0.79573,1.7864523
105,0.42951387,-0.7949579,1.7439129
106,0.5664135,-0.7962864,1.7865076
107,0.43293506,-0.8009907,1.7488673
108,0.56816626,-0.79678977,1.7861505
109,0.43264377,-0.8062939,1.7508544
110,0.5670726,-0.7954754,1.7855852
111,0.56778306,-0.7973793,1.7836192
112,0.5904491,-0.80602646,1.7811556
113,0.5904026,-0.8092831,1.7773377
114,-0.04841638,-0.7980375,1.6694342
115,-0.04784549,-0.79706985,1.6696726
116,-0.046723135,-0.79542065,1.6672733
117,-0.046020042,-0.79126036,1.6676791
118,-0.044905826,-0.7899234,1.670284
119,-0.04401081,-0.78884315,1.6718264
120,0.15345904,-0.7054537,1.4566368
121,-0.045984726,-0.79230165,1.670981
122,0.14432125,-0.77431434,1.513815
123,0.14504753,-0.7653521,1.5133021
