idx,x,y,z
0,0.044919215,-0.46956182,2.1440308
1,0.4670437,-0.5091692,2.001515
2,0.044919215,-0.46956182,2.1440308
3,0.4670437,-0.5091692,2.001515
4,0.03593413,-0.48038444,2.1566691
5,0.033327013,-0.48149222,2.1595495
6,0.03325868,-0.47796836,2.1526384
7,0.034855794,-0.47562012,2.1507308
8,0.2671656,-0.47539714,2.1178331
9,0.03585061,-0.4759089,2.1529698
10,0.27316114,-0.47608596,2.1173363
11,0.036294486,-0.4758045,2.1560335
12,0.27551633,-0.47471172,2.1169648
13,0.037228353,-0.47580314,2.157528
14,0.27594912,-0.47392547,2.1181347
15,0.03928321,-0.47605747,2.158515
16,0.27545434,-0.47268453,2.1193216
17,0.04062337,-0.4762506,2.1577508
18,0.27511907,-0.47261393,2.1192222
19,0.041796472,-0.47615132,2.1557145
20,0.2751314,-0.4737198,2.1190774
21,0.041973308,-0.47787377,2.1534402
22,0.2755135,-0.47661138,2.1206968
23,0.2750025,-0.47833434,2.121632
24,0.27421513,-0.47733742,2.1213896
25,0.27383634,-0.47770151,2.1232882
26,0.27412966,-0.48046353,2.1244643
27,-0.36180353,-0.4863269,2.1483636
28,-0.36703175,-0.48581806,2.1461673
29,-0.19543773,-0.48328668,2.1747162
30,-0.1885877,-0.48302358,2.174105
31,-0.18469077,-0.48294863,2.1718702
32,-0.18425044,-0.48257926,2.1683962
33,-0.1861794,-0.48146915,2.164304
34,-0.54581875,-0.49350935,2.1829863
35,-0.54336256,-0.49518543,2.1825347
36,-0.5389128,-0.49583477,2.1810246
37,-0.53307045,-0.4964159,2.1788633
38,-0.5281347,-0.4952696,2.1765559
39,-0.5255538,-0.49373102,2.1743352
40,-0.5247408,-0.49263507,2.172823
41,-0.52443135,-0.4916989,2.1722624
42,-0.4196093,-0.48774102,2.1909132
43,-0.524549,-0.49271366,2.1717281
44,-0.5259511,-0.49297035,2.173938
45,-0.52758443,-0.493061,2.1766167
46,-0.5277735,-0.49329287,2.178086
47,-0.5267004,-0.49394125,2.1779728
48,-0.5241372,-0.49503952,2.1760268
49,-0.52435046,-0.4952482,2.170822
50,0.8378046,-0.47171563,2.1755643
51,0.8317959,-0.4679932,2.1764276
52,0.8319684,-0.46697727,2.1781754
53,0.83289677,-0.46759143,2.1808136
54,0.8335828,-0.46984076,2.1834137
55,0.83368033,-0.4672475,2.1860316
56,0.68555987,-0.47641617,2.1846035
57,0.8337382,-0.46606728,2.1855898
58,0.6866901,-0.47703075,2.184682
59,0.8333577,-0.46657905,2.1849377
60,0.8332316,-0.4655515,2.1849408
61,0.8342043,-0.46765256,2.1842036
62,0.8375612,-0.4692722,2.1814535
63,0.8388225,-0.4579566,2.1754723
64,0.8308886,-0.45960745,2.1745715
65,0.21351933,-0.594379,1.3332746
66,0.21328396,-0.5976328,1.3328645
67,0.027341975,-0.59044546,1.3704915
68,0.21286753,-0.6030802,1.3335569
69,0.028682642,-0.59147996,1.3745437
70,0.21250573,-0.6066537,1.335161
71,0.028817283,-0.5949141,1.375862
72,0.028155347,-0.5972098,1.3741161
73,0.21293469,-0.59692276,1.3359253
74,0.21308555,-0.59643394,1.3351265
75,0.027012745,-0.5951153,1.3687348
76,0.027478583,-0.59498227,1.3679231
77,0.02797208,-0.5985984,1.3673191
78,0.027976913,-0.59934324,1.3668194
79,0.02614535,-0.5851289,1.3687654
80,0.34712785,-0.5195884,1.712186
81,0.34657475,-0.52064663,1.7106371
82,0.2999704,-0.47159284,2.277912
83,0.30107173,-0.469187,2.2696915
84,0.29863098,-0.45855862,2.2668717
85,0.29597306,-0.45030463,2.2651336
86,0.4886588,-0.41193748,2.7028084
87,0.49053982,-0.4112046,2.7090292
88,0.4912789,-0.41082162,2.7138488
89,0.49176008,-0.41005665,2.7164087
90,0.29155806,-0.39235616,2.789735
91,0.49274415,-0.4089587,2.7154436
92,0.29034248,-0.38814828,2.7820325
93,0.49349374,-0.4075391,2.7157876
94,0.28866923,-0.38720393,2.776486
95,0.4938283,-0.4074423,2.7162228
96,0.28736836,-0.38472563,2.7743578
97,0.49388248,-0.40776908,2.717304
98,0.2867001,-0.38506103,2.7750897
99,0.49350592,-0.40717933,2.7167215
100,0.2862389,-0.38530123,2.77701
101,0.4932367,-0.4068999,2.7164297
102,0.28639627,-0.38172543,2.7791538
103,0.4935224,-0.4071084,2.7168076
104,0.2882424,-0.37801874,2.779533
105,0.49418712,-0.40604788,2.71541
106,0.29066008,-0.37756604,2.7794893
107,0.49476677,-0.4058246,2.715587
108,0.49510753,-0.40693188,2.7157643
109,0.29556954,-0.38968104,2.783011
110,0.49524748,-0.40793008,2.7149265
111,0.2962823,-0.39246228,2.78234
112,0.49511418,-0.40778682,2.7130418
113,0.4949558,-0.4063146,2.7123332
114,0.29589927,-0.3883471,2.7797062
115,0.4944119,-0.40569937,2.7119946
116,0.2943379,-0.38902807,2.777915
117,0.49438626,-0.40476856,2.7130408
118,0.29289854,-0.3927572,2.7770429
119,0.4947263,-0.40530488,2.713831
120,0.29239595,-0.3950604,2.7766495
121,0.49519798,-0.40749463,2.7122602
122,0.2918608,-0.39663467,2.776451
123,0.49586043,-0.4092407,2.7126834
124,0.29007256,-0.39817345,2.7741714
125,0.4960981,-0.41011706,2.7113965
126,0.49612412,-0.41068262,2.7078567
127,0.49434823,-0.41173533,2.7031336
128,0.49073496,-0.41270745,2.695336
129,0.4894058,-0.412781,2.6899009
130,0.48954606,-0.41692042,2.6857219
131,0.31366134,-0.47608536,2.1808777
132,0.3134877,-0.47655836,2.1793473
133,0.31520012,-0.47702152,2.174892
134,0.31664914,-0.47860536,2.1708677
135,0.31829098,-0.48140234,2.1700938
136,0.44163686,-0.34452942,2.4301305
137,0.32005078,-0.48361278,2.1737504
138,0.44289482,-0.3476421,2.421554
139,0.3214636,-0.48516744,2.174284
140,0.32295963,-0.48483133,2.175641
141,0.32432112,-0.4807189,2.1727211
142,0.32421386,-0.47817189,2.1666064
143,0.47714448,-0.5030544,1.9703103
144,0.32412502,-0.47616935,2.1623666
145,0.3238292,-0.47468114,2.1617835
146,0.4775989,-0.50129795,1.9770746
147,0.32341832,-0.47372976,2.1627784
148,0.47753835,-0.5006522,1.976224
149,0.32402176,-0.4724301,2.1667616
150,0.47752547,-0.5011203,1.974373
151,0.3241681,-0.47293755,2.167943
152,0.47768304,-0.5012952,1.9726075
153,0.32455218,-0.47372347,2.1696818
154,0.47790527,-0.5009408,1.9719043
155,0.32471725,-0.47416925,2.1694224
156,0.47794473,-0.50012267,1.9719615
157,0.3244517,-0.47437656,2.1688576
158,0.4780461,-0.500405,1.9717821
159,0.32400355,-0.47515866,2.1687574
160,0.478159,-0.5005627,1.9716433
161,0.32391247,-0.47508568,2.168643
162,0.47795594,-0.500121,1.9720821
163,0.47746906,-0.49962038,1.9732056
164,0.32355103,-0.47655156,2.1780128
165,0.32406333,-0.47759712,2.1817544
166,0.32429263,-0.4783988,2.1839986
167,0.32425332,-0.4786749,2.184834
168,0.3240404,-0.4785326,2.1845908
169,0.32396132,-0.47796974,2.183725
170,0.48853204,-0.4894408,2.039807
171,0.32435343,-0.47736123,2.1844776
172,0.4875536,-0.48879346,2.0399394
173,0.32443714,-0.47732896,2.1822968
174,0.4869271,-0.48760462,2.0403643
175,0.32427728,-0.47668263,2.1798964
176,0.48697853,-0.48622653,2.0409527
177,0.32414654,-0.47566533,2.17788
178,0.48742315,-0.48622715,2.0417867
179,0.32465392,-0.47480023,2.17646
180,0.48798674,-0.48579746,2.0428953
181,0.324999,-0.4739614,2.17536
182,0.48845354,-0.48455077,2.0439184
183,0.32494113,-0.47338262,2.174345
184,0.48850238,-0.48463815,2.0451312
185,0.32458562,-0.4731293,2.1735237
186,0.4885135,-0.48549756,2.0469265
187,0.3242709,-0.47384995,2.1731656
188,0.48853052,-0.4853457,2.0476995
189,0.3242963,-0.4743646,2.1737165
190,0.4883896,-0.4854748,2.047592
191,0.32428107,-0.4744417,2.1738625
192,0.48797703,-0.4861621,2.0461867
193,0.32401484,-0.474578,2.1742756
194,0.4876697,-0.48813218,2.04275
195,0.32743233,-0.47551244,2.1779022
196,0.32884303,-0.47704762,2.1792016
197,0.32780662,-0.4788202,2.180658
