idx,x,y,z
0,0.1348877,-0.76416016,1.6582031
1,0.45507812,-0.7885743,1.6279297
2,0.45503092,-0.7883483,1.627811
3,0.45438597,-0.78717965,1.6299192
4,0.45312133,-0.7827469,1.6361096
5,0.097233735,-0.7388817,1.9016802
6,0.10192644,-0.7418977,1.9002111
7,0.1057432,-0.738308,1.906384
8,0.10648881,-0.73462045,1.9128425
9,0.10635758,-0.73000956,1.9167256
10,0.1071868,-0.72475064,1.9178519
11,0.1081358,-0.71987027,1.9149675
12,0.4379391,-0.73359954,1.9211981
13,0.108772665,-0.7193056,1.9136301
14,0.43786317,-0.73361206,1.9153091
15,0.107534766,-0.72347444,1.9121509
16,0.43738493,-0.73298144,1.9132905
17,0.107692584,-0.7245206,1.9092231
18,0.43707573,-0.73202705,1.9163271
19,0.10842314,-0.723648,1.9058272
20,0.43650556,-0.7322979,1.9196723
21,0.10793339,-0.72578144,1.9066346
22,0.4360515,-0.7304678,1.9233334
23,0.10730839,-0.7258823,1.9049877
24,0.436171,-0.7293452,1.9247776
25,0.106995925,-0.72763115,1.9045095
26,0.43607762,-0.7308724,1.9220331
27,0.10686175,-0.7280128,1.9030796
28,0.4354274,-0.7301837,1.923956
29,0.10624972,-0.72707385,1.8991996
30,0.43563566,-0.7298622,1.9260528
31,0.105752654,-0.7263112,1.8963048
32,0.43609822,-0.7313845,1.9259427
33,0.10567917,-0.7281369,1.8949509
34,0.43587732,-0.73387873,1.9245484
35,0.106168605,-0.72872025,1.8941947
36,0.43558297,-0.7324432,1.9230618
37,0.10706472,-0.7306175,1.8985751
38,0.43628162,-0.73299813,1.9270091
39,0.43773705,-0.73132306,1.9395728
40,0.43738168,-0.729669,1.9382205
41,0.43773663,-0.72438407,1.9339932
42,0.4387197,-0.72585595,1.9328549
43,0.1898041,-0.63801515,2.3833783
44,0.19206402,-0.6419251,2.385537
45,0.19649646,-0.63676107,2.384466
46,0.19966514,-0.6342522,2.3878977
47,0.20703755,-0.6342862,2.405444
48,0.20627502,-0.62959987,2.4065285
49,0.20433971,-0.62700325,2.4053025
50,0.44378817,-0.62739265,2.4416237
51,0.20284534,-0.6260997,2.4037287
52,0.20086557,-0.62634337,2.4030566
53,0.43982577,-0.6247741,2.4497738
54,0.19971865,-0.6268617,2.4020538
55,0.43972084,-0.6252147,2.4518294
56,0.19952522,-0.6272563,2.4007165
57,0.44017202,-0.62598234,2.4500835
58,0.19903044,-0.62622863,2.3992279
59,0.43857086,-0.6227788,2.4500186
60,0.19779089,-0.62633395,2.3959982
61,0.4372558,-0.62290764,2.4513133
62,0.43654668,-0.62259114,2.4516606
63,0.43616253,-0.6210739,2.4534066
64,0.43479037,-0.62289965,2.4566412
65,0.43339843,-0.6217855,2.4584682
66,0.43660873,-0.6151584,2.447789
67,0.4365662,-0.6069021,2.4412389
68,0.44038743,-0.6093559,2.4495397
69,0.18343894,-0.52146757,2.9265695
70,0.18500096,-0.51991355,2.930354
71,0.18620948,-0.518098,2.933921
72,0.43720973,-0.5169041,2.9556313
73,0.18639523,-0.5163966,2.9336689
74,0.43576127,-0.51827455,2.9561832
75,0.18671007,-0.51712346,2.9325585
76,0.43473053,-0.5139696,2.96104
77,0.18788105,-0.5153383,2.9326553
78,0.43578056,-0.5122006,2.9642048
79,0.18793753,-0.5152581,2.9343998
80,0.43721625,-0.5137435,2.9625008
81,0.18769851,-0.51668024,2.9354053
82,0.4375386,-0.5139734,2.9611726
83,0.18762347,-0.5150133,2.9333005
84,0.4376794,-0.5138815,2.9599998
85,0.18828253,-0.5130058,2.9325886
86,0.4372211,-0.51453507,2.9599433
87,0.1877042,-0.5133127,2.9295447
88,0.4344956,-0.5127548,2.9634662
89,0.18781371,-0.5171369,2.9323523
90,0.43305233,-0.51216245,2.9648378
91,0.18669444,-0.51648206,2.9233975
92,0.43391067,-0.51330537,2.9633567
93,0.18609796,-0.51604587,2.9206514
94,0.43475348,-0.51502085,2.9629297
95,0.18618542,-0.5165182,2.9246798
96,0.43472072,-0.5165425,2.9632006
97,0.18339656,-0.5177173,2.9286094
98,0.43642217,-0.5157287,2.9649997
99,0.4389981,-0.51583064,2.9680028
100,0.4397027,-0.5166006,2.9676595
101,0.43858942,-0.51732945,2.9678655
102,0.4374983,-0.51534545,2.967891
103,0.4379946,-0.51695573,2.9672446
104,0.07220147,-0.46469313,3.1644459
105,0.07257086,-0.47035423,3.163559
106,0.072199315,-0.46996164,3.1678953
107,0.071630366,-0.4707414,3.1735487
108,0.07044898,-0.4674011,3.1738846
109,0.06984835,-0.4677564,3.17407
110,0.06980665,-0.4648903,3.1735537
111,0.36753607,-0.44971293,3.2871041
112,0.3664131,-0.4508685,3.2845533
113,0.07256839,-0.44588575,3.1864266
114,0.3673237,-0.4519609,3.2865772
115,0.07365538,-0.44916695,3.1864867
116,0.36821657,-0.45248672,3.287324
117,0.073487535,-0.45605385,3.1799064
118,0.36836538,-0.45004714,3.2863848
119,0.07353422,-0.45711887,3.1761453
120,0.36783254,-0.4471959,3.2863014
121,0.07438239,-0.45691103,3.1714644
122,0.3671611,-0.44599038,3.2868886
123,0.07591446,-0.45514438,3.1701891
124,0.36682877,-0.44672036,3.286135
125,0.0757756,-0.45537424,3.1696746
126,0.36682543,-0.4471789,3.2844243
127,0.07493713,-0.4569965,3.1723123
128,0.36703733,-0.44823724,3.2834215
129,0.073696844,-0.46056744,3.1722598
130,0.36723304,-0.4492573,3.2825906
131,0.07287796,-0.46077034,3.1724668
132,0.36778322,-0.44893566,3.2828841
133,0.072683096,-0.45699614,3.1724362
134,0.3684386,-0.44667673,3.2787957
135,0.07153999,-0.4576267,3.17007
136,0.06699885,-0.46133974,3.1619117
137,0.06540534,-0.4638933,3.1568015
138,-0.10920341,-0.57496226,2.601231
139,-0.11013161,-0.57541704,2.6030817
140,-0.11325702,-0.5733864,2.5996425
141,-0.11484041,-0.5778923,2.5951626
142,-0.11359589,-0.58584064,2.5924022
143,-0.5732926,-0.6265026,2.3302522
144,-0.5730612,-0.62586534,2.3279774
145,-0.57276195,-0.625715,2.327385
146,-0.5710767,-0.6256917,2.3295612
147,-0.32865348,-0.62786496,2.286616
148,-0.5697311,-0.62551475,2.3292725
149,-0.32644954,-0.6269459,2.2914932
150,-0.5690886,-0.62434065,2.328236
151,-0.32635137,-0.6260814,2.2935333
152,-0.5687284,-0.62355393,2.3250017
153,-0.32681194,-0.62634015,2.2900689
154,-0.56894255,-0.62414455,2.326344
155,-0.32741472,-0.6272457,2.2890315
156,-0.5688454,-0.62672806,2.3266964
157,-0.3282185,-0.62625766,2.2899768
158,-0.56893,-0.6267431,2.3279343
159,-0.56886417,-0.6267116,2.3249235
160,-0.56929386,-0.6281203,2.3208039
161,-0.56731963,-0.63295734,2.3211415
162,0.19472265,-0.63785005,2.380802
163,0.19672762,-0.6368779,2.3821135
164,0.20202191,-0.63748264,2.3828485
165,0.098605365,-0.6464578,2.3170235
166,0.09945764,-0.6479785,2.3098984
167,0.82020533,-0.68183035,2.2709036
168,0.8228939,-0.6780641,2.2706692
169,0.89329493,-0.63379085,2.2979157
170,0.8252995,-0.6737824,2.2707987
171,0.8928088,-0.6343101,2.29741
172,0.82766235,-0.6765019,2.2708316
173,0.89433634,-0.63652104,2.2980213
174,0.82260734,-0.6746925,2.27492
175,0.90164584,-0.64056987,2.2945988
176,1.0529222,-0.664563,2.253183
177,1.0476701,-0.6598744,2.2600176
178,1.0509752,-0.65232605,2.258812
179,1.0553421,-0.6482122,2.256263
180,0.81940085,-0.65116113,2.192874
181,0.8197287,-0.65704894,2.1947446
