idx,x,y,z
0,-1.4980469,-0.5419922,2.8183594
1,-1.1762211,-0.6356446,3.0623808
2,-0.081113726,-0.61904126,2.9273977
3,-0.07936422,-0.6178526,2.929661
4,0.065645054,-0.5591036,3.1076043
5,0.064829096,-0.559004,3.1081867
6,0.07070346,-0.55737233,3.1108255
7,0.074486606,-0.5544323,3.1085372
8,-0.08222864,-0.6231516,2.9340484
9,-0.081952125,-0.6229609,2.9367638
10,-0.08163255,-0.6239722,2.9379292
11,-0.082552925,-0.623595,2.9356046
12,-0.083215,-0.621079,2.934232
13,0.1277998,-0.5703355,3.118867
14,-0.08399751,-0.6161072,2.9340653
15,0.12808043,-0.5659341,3.1209846
16,-0.08472411,-0.61489195,2.9336207
17,-0.084786326,-0.61347735,2.934809
18,0.11767957,-0.55941147,3.1279335
19,-0.08438132,-0.61166114,2.9359083
20,0.11285312,-0.5570427,3.1303647
21,-0.083703704,-0.6111165,2.9366846
22,-0.08283959,-0.6117941,2.9367535
23,0.115923226,-0.5507073,3.1276102
24,-0.082622856,-0.61265683,2.937367
25,-0.0833475,-0.6109921,2.9366415
26,0.11899051,-0.55288476,3.123229
27,-0.084176116,-0.610104,2.9370701
28,-0.08533752,-0.61220586,2.9374783
29,0.113302305,-0.55820525,3.125927
30,-0.08649967,-0.6159246,2.937845
31,0.112287775,-0.56555223,3.1335537
32,-0.085477754,-0.60943997,2.9381585
33,-0.08551671,-0.60834324,2.9394271
34,0.11356569,-0.5556218,3.1348848
35,-0.085764125,-0.6055366,2.9397597
36,0.114574604,-0.5542176,3.134142
37,-0.08685859,-0.6061073,2.941766
38,-0.08745967,-0.6058721,2.9424305
39,-0.086756185,-0.6045715,2.9409666
40,0.11155638,-0.5457935,3.1332707
41,-0.0856421,-0.60210776,2.939341
42,0.11117022,-0.5434991,3.127395
43,-0.08429197,-0.5996785,2.937327
44,-0.0832151,-0.5982438,2.9354196
45,0.11894266,-0.54768443,3.122362
46,-0.08283796,-0.59934205,2.9350243
47,0.12068464,-0.5483614,3.123393
48,-0.08243601,-0.6009756,2.9358475
49,-0.082242124,-0.6035195,2.938689
50,-0.081722885,-0.6060866,2.9396207
51,-0.0816234,-0.60697275,2.9411745
52,0.11167941,-0.54592276,3.1226997
53,-0.08213738,-0.6060918,2.9422114
54,0.10886064,-0.5501872,3.1251254
55,-0.08286894,-0.60425293,2.9415069
56,-0.083429545,-0.6023079,2.941104
57,0.11423133,-0.55175567,3.1255507
58,-0.08364847,-0.60080063,2.940486
59,0.11467078,-0.5512641,3.1255302
60,-0.08389346,-0.6003177,2.9406419
61,0.112835184,-0.55289716,3.1270618
62,-0.08396016,-0.60099113,2.9414406
63,0.108922705,-0.5560418,3.1299472
64,-0.08373989,-0.60252434,2.9417188
65,0.10584142,-0.5553184,3.1328855
66,-0.0833187,-0.60350496,2.9408798
67,-0.08324654,-0.6035384,2.9390597
68,0.10794309,-0.54844844,3.1301553
69,-0.08363422,-0.6042061,2.9364278
70,0.109640844,-0.5480415,3.1267242
71,-0.08354307,-0.60514414,2.9352326
72,0.11355953,-0.54970485,3.122809
73,-0.08248182,-0.606893,2.9350379
74,0.114672594,-0.5504093,3.1211042
75,-0.081983134,-0.60655016,2.9363577
76,0.116166756,-0.54722863,3.122239
77,-0.08242913,-0.6042838,2.9388685
78,0.11470321,-0.5466712,3.1238883
79,-0.08267896,-0.6028846,2.9398713
80,0.114393845,-0.5453748,3.1263144
81,-0.08323798,-0.60102594,2.9402454
82,0.11613836,-0.54514045,3.1260223
83,-0.082989596,-0.6021581,2.9397433
84,0.11449157,-0.54253346,3.125287
85,-0.08257264,-0.60443246,2.9385328
86,0.116427004,-0.54184115,3.1237702
87,-0.0820659,-0.6060667,2.9390075
88,0.116053164,-0.5421184,3.1229146
89,-0.08337489,-0.6038537,2.9420633
90,-0.08494172,-0.60388917,2.9449818
91,0.11467526,-0.53907937,3.130485
92,-0.08597648,-0.6041595,2.9459007
