idx,x,y,z
0,-0.640625,-0.79541016,2.0585938
1,-0.13867188,-0.8276368,2.453125
2,-0.641524,-0.79953665,2.0618918
3,0.24748246,-0.8568315,2.6507223
4,0.25011227,-0.869102,2.6592824
5,-0.09504774,-0.8548077,2.648212
6,0.24991661,-0.8692664,2.659099
7,-0.09107691,-0.852765,2.648578
8,0.24997017,-0.8676723,2.656559
9,-0.08796723,-0.84927493,2.6490734
10,0.24997665,-0.86661196,2.657857
11,-0.087279595,-0.8513379,2.6544473
12,0.24878629,-0.86363125,2.6572115
13,-0.08601845,-0.84446883,2.6571803
14,0.24723624,-0.8606741,2.6592667
15,-0.085045494,-0.8441508,2.6623652
16,0.24618873,-0.8601115,2.6577017
17,0.24560438,-0.85991776,2.659014
18,-0.08425516,-0.836474,2.6629894
19,0.24587366,-0.8584724,2.659443
20,-0.08437796,-0.8402229,2.6656265
21,0.24656585,-0.86175525,2.658365
22,-0.085221246,-0.8445944,2.6639056
23,0.24733803,-0.86152786,2.656756
24,-0.08558239,-0.8386207,2.6588702
25,0.24669746,-0.85624856,2.657093
26,-0.085727036,-0.838999,2.658316
27,0.24621886,-0.8546649,2.654077
28,-0.08731504,-0.84429044,2.6558182
29,0.24623689,-0.8587519,2.6550136
30,-0.08793502,-0.8467831,2.6567543
31,0.24670224,-0.8591301,2.655463
32,-0.087622724,-0.8442066,2.6572037
33,0.24711962,-0.8570109,2.6551979
34,-0.08789882,-0.84391415,2.6542082
35,0.24880111,-0.856195,2.6537046
36,-0.08845307,-0.8466316,2.6520436
37,0.24753897,-0.85546815,2.6551673
38,-0.089335404,-0.8473854,2.6514935
39,0.24870281,-0.85632414,2.6544561
40,-0.089918315,-0.8475584,2.6490169
41,-0.09081394,-0.8494408,2.6460266
42,-0.09089063,-0.85150737,2.6420128
43,-0.09369829,-0.8509613,2.6215863
44,-0.095644474,-0.8517196,2.6176052
45,-0.095935866,-0.84847486,2.6108391
46,0.1196733,-0.8056598,1.9802709
47,0.11654497,-0.8022003,1.978375
48,0.11537233,-0.79999655,1.9743352
49,0.11617714,-0.8016493,1.9694967
50,0.115586676,-0.80581367,1.9682724
51,0.11466791,-0.80813885,1.9666555
52,-0.15862553,-0.75940853,1.5582961
53,-0.15943623,-0.7643948,1.5577822
54,-0.15927425,-0.7623581,1.5567187
55,-0.15971343,-0.7592013,1.5558556
56,-0.16080444,-0.76071453,1.5557609
57,-0.16153714,-0.7668028,1.5558095
58,-0.15837862,-0.7634412,1.5566137
59,0.11802808,-0.7604293,1.5563198
60,-0.15489885,-0.7606976,1.5547459
61,0.11847077,-0.76157725,1.5546936
62,-0.15416408,-0.7614225,1.5555953
63,0.11843349,-0.7623467,1.5548165
64,-0.15443565,-0.7630904,1.5551631
65,0.11741666,-0.7590189,1.5540562
66,-0.15398827,-0.76401615,1.55528
67,0.1172868,-0.7577656,1.5551075
68,-0.15339507,-0.7637311,1.5556531
69,0.1170185,-0.7570094,1.5547054
70,-0.15354232,-0.764098,1.5556986
71,0.117054336,-0.7583349,1.5540153
72,-0.15359162,-0.7639051,1.555569
73,0.11695909,-0.7599208,1.5540571
74,-0.15295112,-0.7627297,1.5561496
75,0.11660313,-0.75962317,1.5547407
76,-0.15255675,-0.76256627,1.5561895
77,0.11630992,-0.7592734,1.5559194
78,-0.15208611,-0.76201457,1.5572609
79,0.116067015,-0.75869894,1.5555366
80,-0.15198472,-0.7623635,1.557601
81,0.115957774,-0.7572977,1.5553634
82,-0.15199552,-0.76269495,1.5581708
83,0.116158694,-0.7580953,1.5554043
84,-0.15236314,-0.7629853,1.5581257
85,0.11588294,-0.7578375,1.5558412
86,-0.15231916,-0.7623095,1.5577266
87,0.11568761,-0.7562737,1.5563759
88,-0.15221184,-0.7602825,1.5576608
89,0.11551756,-0.75610805,1.5561147
90,-0.1521787,-0.7595561,1.5564294
91,0.115317106,-0.7572079,1.5562067
92,-0.15181005,-0.7598832,1.557368
93,0.11481982,-0.7590425,1.556584
94,0.1147715,-0.7610311,1.5596706
95,0.11596623,-0.75897384,1.5628874
96,0.11578697,-0.756709,1.5637354
97,0.11729098,-0.7551256,1.5669299
98,-0.07262008,-0.8267812,2.2057478
99,-0.08013025,-0.8103588,2.2114763
100,0.1968238,-0.8641905,2.7452621
101,0.19134285,-0.86738026,2.7479773
102,0.19000666,-0.8639784,2.7509298
103,0.18989429,-0.86160576,2.754464
104,0.1899171,-0.860993,2.7601068
105,-0.0930866,-0.9081273,3.2717116
106,-0.09285703,-0.9055768,3.2769508
107,-0.0924029,-0.90543604,3.283525
108,-0.09107046,-0.90153605,3.2928216
109,-0.09071108,-0.8987316,3.2918687
110,-0.08790979,-0.890967,3.298777
111,-0.08794437,-0.8840256,3.3046832
112,0.20067796,-0.93009543,3.583711
113,0.19551791,-0.9327471,3.587606
114,0.19394624,-0.92909485,3.5915532
115,0.19229043,-0.92661595,3.5973327
116,0.19143242,-0.92932236,3.598509
117,-0.08595881,-0.9315078,3.607626
118,0.19196045,-0.9289941,3.5944288
119,-0.087509915,-0.9328011,3.6036675
120,0.19201134,-0.93207276,3.5951989
121,-0.087838635,-0.9324665,3.6042533
122,0.19056433,-0.9319515,3.5941105
123,-0.08739296,-0.933267,3.6067772
124,0.1896989,-0.93128014,3.595264
125,-0.08664611,-0.9328187,3.6092212
126,0.19147082,-0.9309248,3.593852
127,-0.086536705,-0.9313317,3.609761
128,0.1923568,-0.9306027,3.59587
129,-0.087087296,-0.93231344,3.6097937
130,0.19339205,-0.932355,3.595532
131,-0.08733245,-0.9337447,3.6095524
132,-0.08731882,-0.9345191,3.608614
133,-0.087605186,-0.933767,3.6058779
134,-0.08944686,-0.9340063,3.6019604
135,0.10589738,-0.87399024,2.9340923
136,0.103625506,-0.8758412,2.9314046
137,0.10058171,-0.87698126,2.9295337
138,0.09957544,-0.8787958,2.9255202
139,0.100185536,-0.88173443,2.921957
140,-0.13518028,-0.85484433,2.6599162
141,-0.13038884,-0.8543389,2.6630619
142,-0.12870145,-0.8528397,2.6592064
143,-0.13074178,-0.85284364,2.6553035
144,0.06552675,-0.8505771,2.6236715
145,-0.13425097,-0.8541098,2.6524572
146,0.062237866,-0.85788393,2.6381197
147,0.06016146,-0.8576054,2.6361842
148,0.056974214,-0.85074854,2.6313052
149,0.055720307,-0.848837,2.6278129
150,0.05226647,-0.85112774,2.6285503
151,0.050373048,-0.8550911,2.628817
152,0.051409513,-0.8546347,2.6263824
153,-0.66208774,-0.8525681,2.5866601
154,-0.6638623,-0.85118556,2.5876398
155,-0.6648759,-0.8497332,2.5854402
156,-0.57394433,-0.83721817,2.4762275
157,-0.57780826,-0.83451116,2.4768093
158,-1.052993,-0.8417371,2.6512682
159,-0.5790035,-0.83617973,2.476029
160,-1.0434506,-0.8588255,2.6691463
161,-1.0464971,-0.8524919,2.6720345
162,-1.0471203,-0.84897125,2.6745965
163,-1.0475044,-0.8498646,2.6770506
164,-1.0478742,-0.85217464,2.6767404
165,-0.76069546,-0.8420349,2.6582131
166,-1.0467317,-0.8493105,2.6809356
167,-0.75765485,-0.8449395,2.6571832
168,-1.0464462,-0.84778357,2.6826499
169,-0.7579441,-0.84424806,2.658512
170,-1.0466574,-0.8481673,2.6825361
171,-0.759882,-0.84123933,2.6600947
172,-1.0474579,-0.84746003,2.682954
